a,b,c
How do you find solace from the raging hunger within you? You may lose one checked or unchecked Skill.,You discover an internal focus which lets you maintain control of your vampire self. Lose a violent Memory and take the Skill I Control the Beast and rewrite any unchecked Skill as something new. What new name do you take to distance yourself from what you once were? How is the name symbolic?,"Your control breaks. You slaver and kill and revel in blood. You are your hunger. What were the last words of your closest friendly Character, mortal or immortal, as you feasted upon them? Change a beloved Memory to a lie in which you murder to protect yourself. Create a Skill that invokes the name of a dead Character in a mocking way."
New laws or social mores make it harder for you to hide among the populace. How are you nearly caught and destroyed? Check a Skill. Create a Skill. Create a mortal criminal who assists you.,Working across generations you change the laws of society to your advantage. How do you bend leaders to your will? What do you change? Create a Resource.,"A mortal protégé outstrips you. They are smarter, crueler, and more capable than you can ever be. They lock you in a dungeon—for what purpose do they use you? Create a wicked mortal Character."
"Generations of the same family serve you. This line starts from any living mortal Character, or from the descendants of a dead mortal Character. What bizarre rituals do they tie to their servitude? Lose a Resource and create a Servitor of the Lineage Resource.","Your servants are numerous, enthusiastic, and sometimes useless. Create a Skill based on a Memory, this is the Skill you use to control them.",Your servants bring you a gift you do not want. Create a problematic Resource.
"An enemy Character uses a lost Resource to turn your few friends against you. Check three Skills to regain the Resource, or check one Skill to barely survive. Which former friend did you kill? Where do you flee?",You were born in a time and place much different than that in which you find yourself now. What values must you set aside to survive in this strange world? Create an appropriate contemporary Skill based on your most recent Memory. What new name have you recently adopted?,How do you rise to a position of leadership in this place? What neighbors or populations do you subjugate through war and violence? Gain a Resource you took from someone who wanted nothing but peace.
While traveling you come into conflict with another immortal. Gain a Mark. Who are they? What trick did you play upon them? Create a new immortal Character.,An immortal proves to be much more than they appear. Check a Skill or else lose a Resource or Memory. Gain a Resource or Skill.,"How does human society change drastically due to the meddling of immortals like yourself? Who benefits? What Resource do you lose? Gain one Resource, Skill, or Mark."
"Some mortals have banded together to hunt you, well-armed, and wise to your tricks. How do you defeat or evade them? Create a mortal hunter related to one of your checked Skills. Check a Skill.","The hunters are persistent, capable, and well-informed. They know things about you that you don’t. Create a Mark that is revealed in a confrontation. You are driven into hiding in an unpeopled wasteland. Lose any stationary Resources. Learn a new Skill related to this desolate region. What new name comes to you in loneliness?",Returning to civilization you wreak a terrible vengeance upon the hapless descendants of your harassers. Songs will be sung of their suffering for a thousand years. Historians will use it as a benchmark for evil. Create a mortal Character that was innocent and good until you exacted your toll. Do not actually write down what acts you committed against these people.
"You commit a despicable murder, but not for the sake of feeding. Why? Check a Skill. Remove a mortal Character, if you like.","You are hounded for your crime. Check a Skill, lose a Resource. Confess your crime to any Character. Convert an enemy to a friend or a friend to an enemy. If you must create a Character, you become lovers.","You fight a duel with a beloved Character, create one if you have none. Check a violent Skill or appropriate Resource and win by killing them, or gain a Mark and flee to another land."
"You have fed too long in one place, destroying a community or social group. Who were they? How did the last community member die? Gain a scavenged Resource, lose a Resource.",A community outcast has survived and vows to revenge themselves upon you. How did you know them? How did they know to catch you at your most vulnerable? Create a mortal Character bent on your destruction.,"You are hounded out of the land. Lose any stationary Resources. Check one Skill to escape, two to destroy your persecutor, three to make amends."
"Two friendly Characters become embroiled in an internecine conflict. Become involved and check a Skill. Create up to two Characters, if needed. How do you profit? Gain a Resource.",You scheme while your friends make war on one another. Manipulate the conflict to destroy any Character.,"Too much fighting, too much blood. Acting as peacemaker you try to end the conflict between former friends, but they both turn on you. Lose a Resource. Gain a Mark."
There is a great shift in the way society moves goods. How does this work to your advantage? Check a Skill. Create a Skill based on a Memory.,"Your vampiric state enables you to manipulate people across generations, using them to your own advantage. Create one stationary Resource and one ostentatious Resource that symbolizes wealth and power.","Living off investments and rents makes you lazy and blunts your hunting edge. Check a Skill that is cruel or grasping, lose a checked Skill related to creativity or effort. Gain a stationary Resource that you didn’t truly earn."
You are trapped outside when the sun rises and take shelter someplace you are not supposed to be. A child discovers and befriends you. Create a mortal child Character and record a humanizing Experience.,"The child teaches you to appreciate the world again. You see small things, you smile. Create a Skill based on a pleasant Memory.",Decades pass. The child has died of old age. You stand at their grave. What more could you have done to make their life better? How did you betray them? Strikeout that Character with great ceremony.
Create a mortal Character. You have shaped them from infancy to be exactly what you want. Lose a Resource.,Create a mortal Character. You have shaped them from infancy to be exactly what you want. Lose a Resource.,"You become a loner embedded in the now, manipulating a hundred threads to stay fed and safe. Lose a Memory slot permanently. Take the Skill Feral Cunning."
You master a strange new science or field of knowledge. How does your vampire nature give you special insight into these studies? Create an appropriate Skill based on a Memory.,"You strike up a long correspondence and fall in love. Create a mortal Character. Go to them by giving up a Resource, or smother the love and lose a Memory.","Your mortal love dies through the machinations of another Character unless you check one Skill. If you do save them they will instead die of sickness, or accident, or old age. Either way, you keep a token by which to remember them. Create a Resource."
You are forced to adopt a new name. Why?,Erase the first sentence of any two Memories. You’re not quite sure why. Do not create an Experience about this.,"One place is as another to you, and you simply stop returning home. Lose a stationary Resource. Where do you wander?"
Your methods for acquiring victims are no longer effective. What has changed? Lose a Resource and create a Skill which describes your new feeding techniques.,"What physical labors are necessary to utilize this method? Create a simple, practical Skill and strike out a Memory.",A mortal Character discovers your feeding system. What compelling argument do they use to get you to abandon it? Check a Skill.
You accidentally create a vampire through sloppy feeding. Create an immortal Character from an existing mortal Character. Why do you not destroy them? Check a Skill.,This immortal Character lurks on the fringes of your existence. They become an embodiment of one of your least savory checked Skills. How do they act when your paths cross? What disturbing gift do they give you? Create a Resource.,"This immortal Character falls into the hands of mortals, indirectly imperiling your existence. Save them by checking three Skills. Lose three Resources if you do not save them. If you cannot lose all three Resources, lose as many as possible and flee to a new land. From now on all humans know vampires are real."
"Wars rage throughout the region in which you reside. You withdraw into a hidden retreat, waiting for them to pass. Lose a Resource.","Your secretive ways result in you being arrested as a spy. Check a Skill to escape or lose a Resource and gain a Mark from the experiments performed upon you. Either way, create a mortal who heads a well-funded organization that imperils creatures such as yourself.","You become a spy, selling out the land you call home. Gain two Resources. Check a Skill, gain a Skill, uncheck an ancient and surprising Skill. Which Character suffers and dies because of your actions?"
A long-dead mortal Character returns. What do they want from you? How have they survived death? You only recognize them if you still have a related Memory. Check a Skill.,"What peril do they pull down upon you? Create a new enemy Character, mortal or immortal. Check a Skill or lose a Resource.","You are ceaselessly hunted by potent, supernatural beings. Describe the methods you develop to avoid detection. Lose a Memory to gain a Skill or Resource, or do not lose a Memory and create a mortal servitor."
You are exposed as a monster and flee to a far-off land. Lose any stationary Resources. You do not know the language of this new place. How do you overcome this obstacle? What new name do you take?,You disguise yourself with an entirely new persona. Take an old Memory and modify it to make it contemporary and bland. Create a Skill based on blending in.,You lose yourself in your assumed personality. Lose your oldest and newest Memories. Throw away your Diary. Create a Skill and Resource tied to your new life.
What social mores have your forgotten? Lose a checked Skill.,You feel a love forbidden by the convention of mortals around you. Create a new Character. Lose a Resource.,You reinvent yourself and how you relate to the world. Uncheck a Skill.
You fall into a deep slumber for a hundred years. Strikeout any mortal Characters.,"You recognize the descendant of a dead mortal who features in one of your Memories and feel compelled to make their acquaintance. How do you share knowledge about their ancestor without revealing your monstrous nature? How is this conversation awkward? Gain a contemporary and unexpected Skill. Create a mortal Character, a new friend.",Your mortal friend discovers family documents that reveal you for what you are. How does your relationship change? You may regain a forgotten Memory related to the mortal’s ancestor.
You keep a prisoner. Why this particular person? Why don’t you feed upon them? Create a Character and a Skill related to keeping them captive.,Mortals rescue your prisoner. Create two mortal rescuers. Lose a Resource.,"Your prisoner returns to you, but on their own terms. What is this strange new relationship?"
You know where the old things are. Create a Resource and make an enemy Character into a friend.,You publish a book or in some other way cement a Memory (either current or from your Diary) in such a way that it can never be lost. Draw a star next to the Memory to indicate this and change the Memory to make it slightly less interesting. This Memory can never again be changed or struck out. It no longer takes up a Memory slot.,"A massive shift of power happens in the mortal realm. Governments fall, wars are waged, and a new order is created. Who benefits? Check a Skill. Commit atrocious deeds to gain a Resource related to controlling innocent people. Take the Skill Join the Winning Side or instead check two Skills."
You destroy something important to you in a purposeless rage. Lose a precious Memory or destroy a Resource.,"Your frenzies terrify even yourself. Do you learn to control them or instead choose to embrace this horror? Kill a mortal Character, if there is one, or create a Mark if not.",Pull the very skin from your face in an attempt to expunge yourself of lingering humanity. Create a Mark. How do you cover your disfigurement going forward?
You encounter the descendant of an old foe and help them in some way. Why did you do this? Check a Skill. Create a mortal Character.,They repay your kindness by lashing out at those they perceive as your enemies. A Character is killed.,"The mortal is in grave peril. Check a Skill or lose a Resource to save them, otherwise, they die a terrible death."
The deceptions you practice fool even yourself. Combine any three Traits to fabricate an Experience that you believe to be true.,Punish someone because of this false Memory. You kill or maim a Character. Check a Skill. Take the Skill I Know What’s Real.,"One of your real Memories turns out to be completely fabricated, a fever dream spun of cobwebs. Completely erase one Memory."
"Things fall to dust. Lose a Resource for which you have no corresponding Memory. Do not create a new Experience for this Prompt, it simply happens as you stare in silence.",You are a creature with habits of unknown origin. Lose an unchecked Skill for which you have no corresponding Memory.,"Your thoughts are calcifying, your habits are tyrants. You are nearly captured by an enemy who has been studying your patterns over many years. Break a Resource and remake it into something new and surprising."
Your whole being becomes centered in your senses and your hunger. Create a Skill that demonstrates your feral vampire nature and lose an existing Memory.,You move differently than humans and they unconsciously sense it. Create a Mark.,"You can always find the frail, the weak, the vulnerable. Take the Skill Cull the Herd. Do not meet the eyes of the strong. They are not for you."
"Age has damaged your Diary. Strikeout three nouns from the Memories in your Diary, starting from the oldest entry. If you have no Diary, do this to the first three nouns in a Memory of middling age.","You make a new copy of your crumbling Diary. In your most recent Diary Memory, swap two verbs each for the other. If you have no Diary strike out three verbs in your most recent Memories.",Find a character record from an earlier playthrough of this game. Swap a Memory for one from that character sheet.
"How do you conceal yourself while you sleep? What steps have you taken for protection? Check a Skill and create a Resource. Create a mortal servant Character, if you like.","You are approached by a supernatural Character unknown to you. They take you on a bizarre journey, then offer you spiritual solace in exchange for a terrible pledge. What do they demand? Will you accept? If you accept, gain a Skill.",The potent beings which populate the spaces beyond sight have been revealed to you and nothing will ever be the same again. Let this bizarre world heavily influence the rest of your game. Take the Skill I See In-Between.
Your body is distant from human concerns. Lose a Memory slot. Erase your oldest extant name.,A social convention or taboo from some long-forgotten part of your existence is hardwired into your being. What is it? How does this hinder your movement in society? Create a Mark.,"A ghost haunts you, though you do not know if it is real or a manifestation of madness. Bring back a long-dead Character as a spirit."
What piece of contemporary technology can you not interact with due to your vampire nature? How did your first encounter with this technology almost get you destroyed? Check a Skill.,You make the acquaintance of a group of mortals who share an interest in some Resource you possess. Is it a club? Are these friends? Create three mortal Characters. Develop a Skill related to the Resource in question.,"Decades pass. You remain ageless as your friends slowly curl and dry up; you must leave or be exposed as a monster. Stand outside in the darkness, watching them laugh as they tell stories of how they miss you."
You have archaic ways in spite of your focus on blending in. Create a Resource based on a checked Skill that reflects this.,Swap around the proper nouns between two Memories. Do not create an Experience about this.,"Examining a Resource you possess sparks a forgotten Memory. That Resource once belonged to another Character, but you had forgotten this. Gain tremendous insight into your history by recalling this Memory. Write this forgotten Experience into your Memory or directly into a Diary. To be clear, you are creating a new “forgotten” Experience, not bringing back a Memory you struck out."
"An immortal Character you’ve met returns to claim a debt. What is it? How have they changed? Do you pay willingly? If you have a Memory of this Character you lose two Resources, if not then lose three Resources and check a Skill.",What did they do to send you into the darkest despair? Erase your earliest Memory. You will never get it back. Gain a Skill.,"You develop a plan and carry it through with ruthless efficiency, bringing death and destruction to an immortal Character. You may either reclaim a Resource they took, or destroy them. Check a Skill."
Your body is undergoing further corruption and change. When do you first notice these new changes? Create a Mark.,Your body is becoming more effective as it becomes less human. Create a Skill based on one of your Marks.,"You find companionship in a group of mortals who are in some way outside society. Do they know what you are? Would they care? Create two friendly mortal Characters, each related to one of your Marks."
You are exposed and flee to a far-off land. Convert any stationary Resources to a new Resource representing portable cash or treasure. What name do you travel under? What profession do you claim when you come to rest?,"You flee again, this time to a far-off enclave or colony. How do you use colonial rule to your benefit? Choose one Skill: Occupier, Insurgent, Inconspicuous, or Gone Native along with an appropriate new name.","Revolution! As a suspicious outlander, you are imprisoned. Escape by checking two Skills or bribe your way free with two Resources. Spend an additional Resource to rescue any traveling companions."
"The world has evolved in ways you can’t comprehend, causing you to lose a good amount of wealth. What happened? Check a Skill. Create a Skill that will hopefully prevent this from happening again. Lose a Resource.",You have helpless people put in your charge. Create a Skill that helps you exploit them. Derive it from a happy Memory.,You are impressed by the fighting spirit of one of your victims. What did they do? How do they remind you of your own earliest memories? Did they survive? Create a mortal Character.
You awaken covered in dust. Generations have passed. Your sleeping place has been sealed off. How do you escape? Lose a Resource. Strikeout all mortal Characters.,"A Mortal you thought dead is still alive, somehow. Remarkable! Bring back the most recently struck out mortal Character.","In your long dreaming, you discover a path to lands beyond the real, a fantastic place of enormous terrors and great beauty. You may abandon this Earth and go where none may follow; leave behind all Characters, Marks, and Resources except a Silver Sword and return to Prompt 10. Proceed forward from there, an unMarked vampire in a realm of dreams. If you land on this Prompt a second time, you awaken and can never return. If you do not travel to this dreamland you instead take the Resource A Handwritten Book of Fantastic Dreams."
"What simple, practical skill proves invaluable in your strange existence? How did you learn it? Create a Skill.",How did you come to be in a place of common laborers? What previously checked Skill convinced them to accept you? What was that night of camaraderie like? Create a mortal Character. Check a Skill.,Your new friends become a source of food. Create a Resource that reflects this.
You are captured in a trap set for predatory mortals. What sort of criminal are you taken to be? How does this experience help you learn to better prey on mortals? Make a new Skill that sours the purity of a pleasant Memory.,You are almost uncovered and must dramatically shift your hunting patterns. Become a member of the lowest classes and lose a Resource. If you already are of the lowest classes instead become a member of the highest and check a Skill.,You take up with predatory mortals. Create a repugnant mortal Character who becomes your associate. Even you fear these people. Why?
When you hunger too much you become a hunting creature bereft of intellect. Lose a random Experience from a Memory somewhere in the middle of your Memory list.,"You find companionship in something that is not human. Is it an animal, or maybe something inanimate? How do you interact with it? How did you find it, or did it find you? Create either a Character or Resource to represent this companion.","All things end, but apparently not this. A mortal Character for whom you hold great affection is un-aging. Is it magic? Some form of infection? They still count as a mortal Character, but they will never die of old age."
"The beauty of the dawn calls you. Create an additional Memory slot dedicated to beauty, nature, or peace.",You stay long enough to hear the end of a morning bird’s song. You are burned by the Sun. Create a Mark.,"Stretch out your arms, feel the warmth. The light pushes through your eyelids and you are not consumed in fire. Sunlight (or some other environmental condition) no longer harms you. Create a Skill about freedom."
"A mortal Character you trusted, or one of their descendants, leads a hunting party. What shared secrets are being used against you? Check a Skill.",You have the troublemaking Character at your mercy. Record an Experience of forgiveness.,They betray you again and escape. Lose a Resource or gain a disfiguring Mark.
"Your strange accent and old ways always reveal you as an outsider, mocked, and cheated at best or hated at worst. Smother these useless traits by converting an old Memory to a new Skill for blending in.","Your old memories are changing to reflect the attitudes you need in the present. Change a Memory to incorporate anachronistic, contemporary aspects. Do not create a new Experience.",Discard a Resource that is more than a hundred years old.
Timeless introspection becomes manifest in creative acts. Choose a creative Skill based on a lost Memory.,You dedicate yourself to an art. Lose a Resource but gain back one lost Memory.,You achieve fame for your art but must remain in shadow. Destroy a Resource in frustration. Gain a Skill.
You begin a fantastic construction that puzzles the mortals around you. Give just a hint as to its purpose. Lose a Resource and gain the Skill Visionary.,Mortals try to prevent you from realizing your vision. Check a Skill to persevere. What awful crime did you commit to protect your construction?,You’ve finished your construction. Why did you make this? Does it have a function? Does it change the world?
"Your knowledge of old things becomes a strength. Based on a checked Skill, what knowledge do you share with contemporary mortals? Check a Skill. Create a Resource.",What humans seek you out for your knowledge? What do you give them? What do you take? Create a mortal Character who is smarter and more capable than you. Gain a Resource.,"You are brought to the site of one of your oldest crimes. Who brought you here? Why? Do you even remember? Check a Skill. If you have no Memory of this crime, you will be reminded."
"Society has changed. How has travel become easier for you? Recover any stationary Resources for which you still have a Memory, they are re-added to your Resource list.","What memories are unearthed by wandering these old places? Get back a lost Memory related to the stationary Resource, or gain a new treasure Resource which you’d concealed here.","What grisly trap was set for you here? Lose a Resource, gain a Mark."
"A mortal discovers the journals of a long-dead Character, or your own lost Diary, and approaches you. What do they seek? Gain a Skill or a Resource. Create a mortal Character.","The mortal harms, shames, or exposes you. Check a Skill as you fruitlessly pursue them. Lose a Resource.",The mortal’s lust for forbidden knowledge results in the release of a supernatural horror upon the world. Is this a gigantic monstrosity that will eventually destroy the world or a personal horror set upon destroying you in particular? Create an immortal Character or Characters.
Check a Skill to avoid arrest as a criminal. What happened? Who was arrested in your place? Create a mortal Character if necessary.,Create an innocent mortal Character. They were executed for a crime you committed. What hobby were you tinkering with the night they were put to death? Take the Skill It’s None of my Concern.,An entire class of people are blamed for crimes you committed. Take the Skill Always Have a Scapegoat. Who suffers in your place? Create a friendly Character who represents these people and is ignorant of your complicity. Create another Character who is in a position of authority; they know these people are innocent but do not care.
Someone reminds you of a beloved Character long dead. Check a Skill to curry their acquaintance. Create a mortal Character.,You frequently confuse living mortals with a dead Character. Take the Mark I See [dead Character][a][b] Everywhere.,Your body is ancient. A Mark becomes disabling. You must seek mortal assistance. Create a mortal Character who is especially capable of helping you.
You realize that some ancient taboo or limitation you long believed in no longer applies. What circumstances prompted this discovery? How does this make your existence more satisfying? Change one checked or unchecked Skill in a way that’s relevant.,You discover a point of weakness where you were once strong. What have the ages taken from you? What causes this condition? Lose a checked Skill.,"You receive an injury which incapacitates you. Left alone you would recover, but helpful people rush you to a hospital. There you awaken and realize that you are known. Create a Character: a horrified mortal medical professional who knows exactly what you are."
"How do you provide for your banal, material needs? Record an Experience about the time this went wrong. Check a Skill.",How do you avoid the eye of the government? Create a Skill based on a Memory.,How do you try to fool yourself into thinking you provide a valuable service to society? Take the skill Parasite.
Vast numbers of humans are migrating around the world. What group becomes easy to feed upon? How do you capitalize on their helplessness? Create a Resource.,"You manipulate society’s leaders to make one group of humans even more vulnerable to your vampiric feeding. What system do you build around victimizing these people? Check a Skill, create a relevant Skill from a Memory. Create a Character who is central to those resisting your machinations.","Society collapses on a global scale and will not recover for centuries. Millions starve, governments dissolve, there is murder in the streets as cities burn. How do you take advantage of the chaos? Check a Skill. Create two new Resources. Create a Skill. What Character rises to a position of global leadership in these awful times?"
A possession turns out to have financial value as an antique. Trade your oldest Resource for two contemporary Resources.,You experience intense regret over a Resource you have given away or lost. Do anything to get it back. Lose two Resources or check two Skills and get back one lost Resource.,Objects are transient. All is nothing. Throw away your oldest or most precious Resource.
Your knowledge is outmoded. Lose an unchecked Skill which is now useless.,Your concept of value is outdated. Lose a Resource.,You are so ancient you no longer look like the people of today. Create a Mark that reflects this. How do you come to realize that your very body no longer fits in?
Language itself leaves you behind. People discuss concepts you cannot grasp using tools you cannot understand. How is this problem dramatically made manifest? Create a Character who will teach you a Skill to help you offset this disadvantage.,"New forms of communication offer new ways to hunt. Modify an old Memory to include an anachronistic use of this sort of contemporary communication technology. Check a Skill, create a Skill.","Language has grown into something outside your ken. You can invoke phonemic patterns to which mortals will react in certain ways, but you can no longer share actual thoughts or feelings or abstract ideas. Create a Skill that expresses this."
"An antiquity has surfaced which is directly tied to your mortal life. Check a Skill or lose a Resource and gain the antiquity as a Resource, then regain one of your earliest Memories. Record an Experience about acquiring the antique.","Because of this antiquity, someone has begun to hunt you. Create a mortal Character. How do they almost expose you? Check a Skill or lose a Resource.",The mortal Character hunter corners you. You become the embodiment of one of your Checked Skills to defeat them. Take a Mark.
"You bond with an ancient enemy Character over your shared past, finding in it something more comprehensible than this modern world. Check a Skill. You become friends. Share a Resource and gain a Resource that is shared with you.",You and your friend retire to a hidden place. There you share real pleasure for the first time in centuries. Create a Skill about love and safety.,"You and your friend concoct a fantastic plan and bring it to fruition. Check a Skill. What is it? Do you conquer the world? Raise the dead? You may end the game now, if appropriate."
Mortals are cruel and work in ways outside your understanding. How were you mocked or victimized? Why was your response ineffectual and costly? Check a Skill.,An important Memory is tainted by your exposure to the psychological tricks of contemporary society. Modify a Memory to make it less special. Lose an unchecked anti-social Skill.,"Lose a Memory. Record an Experience driven by a desire for contemporary prestige items. Lose two Resources, gain one prestigious Resource."
An immortal Character has been destroyed by mortals. How did you come to find out about this? What did you lose? Create a Skill based on a Memory. Create an immortal Character if necessary.,How were you unintentionally responsible for this killing? What minor benefit did you gain? Gain a Resource.,"Create a false Experience about an immortal Character, which helps you make peace with your memories of them."
You are caught outside and destroyed. What happened? The game is over.,,
"You achieve a position of absolute stability that might sustain you, unchanging, until the Sun dies. What does this mean? The game is over.",,
You are physically trapped in a place from which you will never be rescued. What do you think about for the first thousand years? The game is over.,,
An old friend or foe murders you in your sleep. What do you see in those seconds between dream and non-existence? The game is over.,,
"A government captures you, knowing you for what you are. What do they do with you? The game is over.",,
Your body finally wears out. You cannot carry out your feeding patterns. What happens? The game is over.,,
Creatures like yourself have taken over the Earth. What is your position in this new world? The game is over.,,
You discover a way to become mortal. Do you take it? How will this go wrong? The game is over.,,
You translate yourself into a higher plane. What does this mean? The game is over.,,
